Episode|Intro|Proverb
Episode 20: Poetry Week|"""You\'ll be safe here,"" says a whisper behind you. Welcome to Night Vale."|pain is just weakness leaving the body . and then being replaced by pain . lots of pain .
Episode 21: A Memory of Europe|Hang a map of a place you'll never go on your living room wall. Draw new streets. Tear off bodies of water. Wait for news crews to arrive. Welcome to Night Vale.|ask your doctor if right is left for you .
Episode 22: The Whispering Forest|There is a thin semantic line separating weird and beautiful. And that line is covered in jellyfish. Welcome to Night Vale.|if you love someone , set them free . set them free now . this is the police , and we have you surrounded .
Episode 23: Eternal Scouts|We report only the real, the semi-real, and the verifiably unreal. Welcome to Night Vale.|mothers , do not let your babies grow up to be cowboys . show them pictures of cows when they are young , and administer brief electrical shocks .
Episode 24: The Mayor|The sun has risen. You are awake. This symmetry is not without meaning. Welcome to Night Vale.|the most dangerous game is man . the most entertaining game is broadway puppy-ball . the most weird game is esoteric bear .
Episode 25: One Year Later|A friendly desert community, where the sun is still hot, the moon still beautiful, and mysterious lights still pass overhead while we all pretend to sleep. Welcome to Night Vale.<br/>|"fun game : say "" toy boat "" over and over . do it for the rest of your life . retreat from society , and live on alms . whisper , "" toy boat , "" as you die ."
Episode 26: Faceless Old Woman|Trumpets playing soft jazz from out of the dark desert distance. They come tomorrow. It is too late for us. Welcome to Night Vale.|the human soul weighs 21 grams , smells like grilled vegetables , looks like a wrinkled tartan quilt , and sounds like bridge traffic .
Episode 27: First Date|Mountains. Endless mountains. Peak after barren peak. And what lies, restless, in the shadowed valleys? I cannot say. I cannot say. Welcome to Night Vale.|""" production oversight by torey malatia , who is holding a small locket . he is not speaking , he would just like for you to touch the locket . his hand is twisted , his skin is forming into scales . just touch it once . just once , okay ? """
Episode 28: Summer Reading Program|Does it even matter how many living things you touched today? Or where they all are now? Welcome to Night Vale.|""" a bar walks into a bar . the bartender is a snake eating its own tail . the windows look out only onto the face of the one who looks . """
Episode 29: Subway|Our black suns move erratically like drunken bees, and each of them stings. Now more than ever we are full of blood and honey. Welcome to Night Vale.|your body is a temple . a temple of blood rituals and pagan tributes , a lost temple , a temple that needs more calcium . you should maybe try vitamin supplements .
Episode 30: Dana|It takes heart. It takes guts. It also takes cash. It just needs your payment immediately. Welcome to Night Vale.|look to the sky . you will not find answers there , but you will certainly see what everyone is screaming about .
Episode 31: A Blinking Light up on the Mountain|Our god is an awesome god. Much better than that ridiculous god that Desert Bluffs has.|throw your hands in the air . now your arms . keep detaching limbs and throwing them in the air . hopefully , the birds will be sated and leave .
Episode 32: Yellow Helicopters|A lonely heart, a wandering eye, an empty stomach, a shoulder to cry on - this is what makes us, us. Welcome to Night Vale.<br/>|sticks and stones may break my bones , but words will never quite describe the pain .
Episode 33: Cassette|Perhaps you noticed something strange yesterday. And perhaps you have forgotten it. Welcome to Night Vale.|you can lead a horse to water , and you can lead a horse into water , and you can swim around with the horse and have fun .
Episode 34: A Beautiful Dream|Life is like a box of chocolates; Unopened. Dusty. And beginning to attract a lot of insects. Welcome to Night Vale.|thank you for your interest in a life free of pain . we are not accepting applications at this time . please try again . and again . and again . and again . and again . and again . and again . and again . and again ...
Episode 35: Lazy Day|No one has seen the trees this week. Hopefully they'll come back soon. Welcome to Night Vale.|on this day in history : mundanity , and terror , and food , and love , and trees .
Episode 36: Missing|Red sky at night. Sailors delight. Red sky at night. The sailors are howling and laughing. The sailors begin to surround us and the night sky is so very red. Welcome to Night Vale.|look . up in the sky . it is a bird . it is a plane . no . it is just the void . infinite and indifferent . we are so small . so very very small .
Episode 37: The Auction|Velvet darkness. Silken light. The rough burlap of evening. The frayed cotton of daybreak. Welcome to Night Vale.|listen . I am not a hero . the real heroes are the people that point out to us when protesters have smartphones , thus invalidating all concerns .
Episode 38: Orange Grove|You take the good. You take the bad. You take them both, and there you have spiders crawling out of a red velvet cupcake. Welcome to Night Vale.|a journey of a thousand miles begins with a single command from a satellite-activated mind control chip .
Episode 39: The Woman from Italy|Flying is actually the safest mode of transportation. The second safest is dreaming. The third safest is decomposing into rich earth and drifting away with the wind and rain. Welcome to Night Vale.|your bitcoin address is your middle name , followed by the name of your first pet and the first street you lived on .
Episode 40: The Deft Bowman|The riddle says: \xe2\x80\x9cHe walks on four legs in the morning. He walks on two legs at midday. And at night, he slithers from dream to dream effortlessly, like the air we breathe. And we love him.\xe2\x80\x9d Welcome to Night Vale.|you can not get blood from a turnip . listen , you need some blood ? i can totally get you some blood . set that turnip down and follow me to the blood . there is a lot of blood .
Episode 41: WALK|At a loss for words? Here's a few you can use: Welcome to Night Vale.|please move your brain so we can get to the drugs . and stop leaving it there . we have talked about this .
Episode 42: Numbers|I sing the body electric. I gasp the body organic. I miss the body remembered. Welcome to Night Vale.|ignore all the haters telling you that everything is not a sandwich . everything is a sandwich .
Episode 43: Visitor|Listen to your heart. You can hear it deep under the earth. Creaking and heaving. With roots snapping and birds flapping quickly away. Welcome to Night Vale.|you will not sleep when you are dead , either .
Episode 44: Cookies|All that glitters is not gold. Particularly that thing over there. That's maybe a giant insect of some sort. It's really too dark to tell. Welcome to Night Vale.|at your smallest components , you are indistinguishable from a forest fire .
Episode 45: A Story about Them|This is a story about them, says the man on the radio, and you are concerned, because this is not a story you were ever supposed to hear.|knock knock . who is there ? orange . orange who ? orange you glad i did not say your mother 's in the hospital . I am sorry . I am so sorry . is there anything i can do ? listen . I will drive you over there . we will leave right now . grab a coat ; it is a little cold out . I am so sorry .
Episode 46: Parade Day|Just act natural. Just act like all of nature. Just act like the entire cycle of life and death and change and rebirth. Welcome to Night Vale.|if you love something , set it free . if it starts flying around and chirping , it was probably a bird .
Episode 47: Company Picnic|Snow is falling somewhere. Many things are falling, or will fall, or have fallen, but temporary triumph is still triumph. Welcome to the Greater Desert Bluffs Metropolitan Area.|there is a difference between you are , your , and yarn . yarn is not even pronounced the same way . it is a completely different word .
Episode 48: Renovations|True beauty is on the inside, where everything is red and glistening and full of practical organs and sharp rocks. Welcome to the Greater Desert Bluffs Metropolitan Area.|feeling lost ? like you have no goal in life ? like you are covered in dirt and wet leaves ? like you are an earthworm ? are you an earthworm ? kind of sounds like you are an earthworm , actually .
Episode 49: Old Oak Doors|The sun is bright, the moon is irrelevant and we are light and light and light and light. We're light.Think back, look forward, listen timelessly. Welcome to Night Vale.<br/>|wonderwall is the only '90s song visible from space .
Episode 50: Capital Campaign|Home is where the heart is. We found it one day in the sink. It hums things late at night, but they are not songs. Welcome to Night Vale.|soccer is also commonly known as football , canadian baseball , american football , violent jogging and world war ii .
Episode 51: Rumbling|Look. Up in the sky. It's a bird. It's a plane. It's a cloud! It's a moon?! Also, some stars. There are so many things in the sky. Welcome to Night Vale.|everything that happens , happens for a reason . except ostriches . what the hell , man ?
Episode 52: The Retirement of Pamela Winchell|Now is your chance. Well, that was it. It's over. Did you do it? Have you achieved what you wanted? No? Oh well. Welcome to Night Vale.<br/>|most people think pit bulls are dangerous dogs , but , biologically speaking , most pit bulls are just three shih tzus wearing a trenchcoat .
Episode 53: The September Monologues|The wind out of the desert is changing. I feel it; you feel it. A shiver in the midday heat. A crackle in the television broadcast. A shift in your immune system. It is September, and something is different. It is September, and the days have gone sinister \xe2\x80\x93 from first eye\xe2\x80\x99s open to last slow breathing. It is September, and so, listeners \xe2\x80\x93 dear listeners \xe2\x80\x93 Night Vale Public Radio is proud to introduce The September Monologues.|( static )
Episode 54: A Carnival Comes to Town|The secret to a long life lies in how acutely you perceive time. Welcome to Night Vale.|say what you will about dance , but language is a limited form of expression .
Episode 55: The University of What It Is|Let me be brief. Let us all be brief. Let us briefly be. Welcome to Night Vale.|language will evolve irregardless of your attempt to literally lock it away in a secluded tower , obvs .
Episode 56: Homecoming|It is autumn, and nature is vanishing. It is autumn, and nature is beautiful. Welcome to Night Vale.|I have got more rhymes than the bible 's got psalms . 151 . I have got 151 rhymes .
Episode 57: The List|Breathe deep. Deeper than that. Get far below sea level and breathe. Breathe in a cave. Breathe in a deeper cave. Breathe deeper and deeper until you can\xe2\x80\x99t find your way back. Welcome to Night Vale.|beware of greeks bearing gifts . also beware of gifts of greek bears . gifted and bare greeks are totally ok .
Episode 58: Monolith|If it looks like a duck, and it quacks like a duck\xe2\x80\xa6you should not be so quick to jump to conclusions. Welcome to Night Vale.<br/>|it is not the size of the dog in the fight . it is the size of the other dog in the fight .
Episode 59: Antiques|It\xe2\x80\x99s not darkest before the dawn. It\xe2\x80\x99s actually darkest after all the stars have gone out. It\xe2\x80\x99s very dark then. Welcome to Night Vale.|if you want a picture of the future , imagine a person writing headlines about millennials forever .
Episode 60: Water Failure|See some evil, hear some evil, speak some evil. Welcome to Night Vale.|the reason we say “ bless you ” after someone sneezes is because we know they will die someday .
Episode 61: BRINY DEPTHS|There\xe2\x80\x99s nothing under your bed. Nothing in your closet. Nothing waiting in the hall. You are surrounded by nothing. You cannot escape it. Welcome to Night Vale|i let my haters be my motivators . mostly they tell me i suck , and then i get sad . this was a terrible idea .
Episode 62: Hatchets|Dare to dream. Do it. We dare you. Go ahead, dream. It\xe2\x80\x99ll be fine. We promise. Welcome to Night Vale<br/>|"ask your doctor , just who he thinks he is . say it just like that . say , "" who do you think you are ? "" see if he starts crying . i know i would ."
Episode 63: There is No Part 1: Part 2|There is no Part 1. This is Part 2. Welcome to Night Vale|history is written by the victors . and then forgotten by the victors . and then the victors die too .
Episode 64: WE MUST GIVE PRAISE|Don\xe2\x80\x99t judge a book by its cover. Judge it by the harmful messages it contains. Welcome to Night Vale.|do not bring a gun to a knife fight . do not bring a knife to a knife fight , either . stop going to knife fights altogether . what has your deal with knife fights ?
Episode 65: Voicemail|You have reached the voicemail of Cecil Gershwin Palmer. That might seem like an easy thing to do, but think about how long you had to stay alive just to learn how a phone works and who I am. Congratulate yourself on that. Give yourself a vigorous pat on the back, and\xe2\x80\xa6don\xe2\x80\x99t forget to leave a message after the heavily distorted sample of a man saying \xe2\x80\x9cI just couldn\xe2\x80\x99t eat another bite.\xe2\x80\x9dI just couldn't eat another bite.|beep < > hey friend , we have not spoken in a while , not since all that unpleasantness happened . i hope everything has been super pleasant since then . oh ! but hey , I have been working on something I would like to show you . i think you will be just jazzed about it . get back to me asap , okay ? until next time cecil , until next time .
Episode 66: worms\xe2\x80\xa6|We all lie dreamily upon damp earth, spotting clouds shaped like animals we have yet to invent. Welcome to Night Vale.|when you wish upon a star , your dreams come true , but because of distance , not for millions of years .
Episode 67: [Best of?]|The sun is actually cold! It's cold and empty, and all is lost. Greetings from Night Vale!|""" I am all business , "" i say , peeling off my skin strip by strip , showing you what oozes out . business to my core ."
Episode 68: Faceless Old Women|Get the body you\xe2\x80\x99ve always wanted. We know where it\xe2\x80\x99s buried, and can lend you a shovel. Welcome to Night Vale.|do not be afraid of the dark . be afraid of all of the terrible things hiding there , and the terrible things they will do .
Episode 69: Fashion Week|But don\xe2\x80\x99t you see? You never needed anything else. The weird was within you the whole time. Welcome to Night Vale|dress your dog for the job you want , not the job you have .
Episode 70: Taking Off|We all have to start somewhere. We all have to end somewhere, too, but let\xe2\x80\x99s concentrate on the other thing. Welcome to Night Vale.|a rose by any other name is called something else .
Episode 71: Review|If you love something, set it free. If it doesn\xe2\x80\x99t come back, it probably died of sadness because it thought you loved it. Welcome to Night Vale.|you say potato , i say potato . potato . potato . potato . potato . potato . yes , this is very good . let us keep going . potato . potato . potato .
Episode 72: The Registry of Middle School Crushes|I trip the light fantastic, and then I offer to help it up. And when the light fantastic is halfway up, I let go, and it falls again. Me and the light fantastic do not get along at all. Welcome to Night Vale.|i had a dream in which cow-sized pugs existed . i was on a train , and one loped along outside my window . I am sorry your dreams am not as good .
Episode 73: Well of Night|Kill it with kindness. And if that fails, kill it with sharp sticks or knives. Welcome to Night Vale.|when someone says “ I am a dog person , ” i always reply , “ yeah ? well , I am a liza rd person . ” and then i pe el off my face .
Episode 74: Tryptich|What\xe2\x80\x99s past is prologue; what\xe2\x80\x99s future is epilogue. This, right here, is maybe Chapter Four or Five. Welcome to Night Vale.|"candles lit , runes drawn upon the floor , sacrifice prepared . everything is ready for the summoning . i begin the incantation : "" shakira , shakira ! """
Episode 75: Civic Changes|Remember that you are a beautiful person. You\xe2\x80\x99re a weird-looking tree, but you\xe2\x80\x99re a beautiful person. Welcome to Night Vale.|"the word "" motel "" is an amalgam of the words "" hotel "" and "" murder "" ."
Episode 76: Through the Narrow Place|"Today\xe2\x80\x99s proverb: The word ""motel"" is an amalgam of the words ""hotel"" and ""murder"". Welcome to Night Vale."|drake would like to add you to his professional network on linkedin .
Episode 77: An Epilogue|In just a few days, the whole story will be known. This is what happens after. Welcome to Night Vale.|""" late capitalism ” is such a sweetly optimistic phrase ."
Episode 78: A Stranger|When a window closes, so does a door. So do all the other doors and windows. The house is alive, and it doesn\xe2\x80\x99t know you, and it is scared. Welcome to Night Vale|I am a single issue voter . if the candidate is not a baby polar bear , i straight up can not support them .
Episode 78: Cooking Stuff: Thanksgiving special|Cook a feast no family could fully eat, recite prayers no family could fully believe, and acknowledge a frightful history no family could fully comprehend. Welcome to Night Vale.|if a car flashes its brights at you , it has probably a gang . and if you flash your brights back , the gang gives you cake . it has a cake gang .
Episode 79: Lost in the Mail|We brought something back with us, something we cannot escape: memories of a great vacation to deepest space! And the merciless Distant Prince. Welcome to Night Vale.|ever wondered how a plane flies ? well , the answer is that no one knows . pilots are scared to ask . if we ask , maybe it will stop working .
Episode 80: A New Sheriff in Town \xc2\xa0|I fought the law, and the law won. I ignored the law, and the law won. I abided by the law, and the law won. Welcome to Night Vale.|there are hot singles in your area , and they all died exactly 20 years ago , on a night just like tonight .
Episode 81: After 3327|To err is human, but to err is also computer. We'll have to find another test to reveal which of us are secretly bots. Welcome to Night Vale.|you know what would be great ? if someone made a movie showing spider man 's origin story . I would love to finally see that on the big screen .
Episode 82: Skating Rink|If you're happy, and you know it, then the chemtrails are finally working. Welcome to Night Vale|be careful what you wish for , because it probably will not come true , and life is mostly about expectation management .
Episode 83: One Normal Town|Breathe in. Breath out. Breathe in. Breathe out. Don't breathe. Don't breathe. Don't breathe. Don't breathe. Welcome to Night Vale|actually , it has property 's brother .
Episode 84: Past Time|Dress for success. Put on your tall hat, and rubber gloves, and long grey coat. Success requires this specific outfit. Welcome to Night Vale.|dance like the government is watching .
Episode 85: The April Monologues|Once again, the turning of the seasons, nearly imperceptible here, a shading of the desert heat, but we feel the change, in the thrumms of our bodies, in the texture of the sand. There is rain, once in awhile. If not here, than somewhere else, surely. Wild spring has stepped in for her stolid winter sister. It is April, and something is different. It is April, and the days have depth, and vibrance. It is April and so, dear listeners, Night Vale Community Radio is pleased to present The April Monologues.|put your ( static ) in , take your ( static ) out , put your ( static ) in , and ( static ) all about .
Episode 86: Standing and Breathing|I believe the children are our future. They are also our past, and our present. This is how children work in linear time. Welcome to Night Vale.|call me old fashioned , but i believe there should be only one continent .
Episode 87-The Trial of Hiram McDaniels|Numbers don't lie, but humans using numbers lie all the time. Welcome to Night Vale.|""" them 's the brakes , kid , "" said the most annoying driving instructor ever ."
Episode 88: Things Fall Apart|City-wide utility failures continue to haunt us, but not as much as the strangers who do not appear to move. Welcome to the Night Vale Public Utilities Phoneline.|wan na feel old ? people born in 2014 have already graduated college , do not know what a trombone is , and are all named after gourds .
Episode 89: Who's a Good Boy? Part 1|Who's a good boy? Who's the good boy? Who is it? Who is it? Welcome to Night Vale.|remember to compliment sandwich when critiquing . for example : that is an okay shirt you have on . everything you wrote was bad . you are wearing a shirt .
Episode 90: Who's a Good Boy? Part 2|You wanna go outside? Outside? You wanna go outside? You do? You do? I bet you want to go outside. I bet you do. Welcome to Night Vale.|you can tell a lot about someone by coming into our office and confessing everything you know about them .
Episode 91: The 12:37|Do not bite the hand that feeds you. Grab it first. Take the keys. Set yourself free. Then bite the hand, and run. Welcome to Night Vale.|here is the church . here is the steeple . open it up , and see all the people screaming about the giant that just tore their roof open .
Episode 92: If He Had Lived|Which came first? The chicken, the egg, or airplanes? Welcome to Night Vale.|writing rules : one , write a lot . two , read a lot . three , if someone tells you not to use adverbs or some other elmore leonard thing , swiftly kick them .
Episode 93: Big Sister|Find it in your heart. You'll need to break past the ribs and then scoop it out, but it's in there, and you need to find it. Quickly. Welcome to Night Vale.|drive it like you stole it , but you stole it because you really loved it and you would not like to see it damaged . basically , drive carefully .
Episode 94: All Right|It\xe2\x80\x99s all right. All right. Allll right. Allllllll right.Welcome to Night Vale.|this is doritos ' world . we just live in it .
Episode 95: Zookeeper|It is a truth universally acknowledged that a single man in possession of a cursed talisman must be in want of a hex reversal. Welcome to Night Vale.|wan na feel old ? people born in 2014 have already graduated college , do not know what a trombone is , and are all named after gourds .
Episode 96: Negotiations|You are statistically likely. Welcome to Night Vale.|the children we are right . the floor is lava . but they we are wrong about the heat resistance of sofa cushions .
Episode 97: Josefina|Why do birds appear every time you are near? It's likely they planted a tracking device on you. Welcome to Night Vale.|if there is not a race to get to the dance competition on time , then your screenplay is not finished .
Episode 98: Flight|Those who remember history are also doomed to repeat it. Welcome to Night Vale.|so there is this commercial , and it is like this-the baby and she is not getting along with the dog she is like a little afraid of the dog and the dog is like a big , beautiful golden retriever and , um , so like the golden retriever really feels sad because he can not be with his family because the baby does not like it but so the dad sees that , um , the baby likes the - the , the , um ... the stuffed animal that she has which is a lion so the dad goes and orders a lion mane for the dog and then he puts it ... he puts it on the dog and then the dog , um , the dog walks in as the lion and the baby loves it and the dog is happy because it can be part of the family again as a ... as a lion . thank you .
Episode 99: Michigan|Here comes the sun. Here comes the sun. Here comes the sun. It does not stop. Welcome to Night Vale.|a four-star hotel will put mints on your pillow , whereas a five-star hotel will put candy bars in your butt .
Episode 100: Toast|I know many of you have a few things you'd like to say. So let me start things off: Welcome to Night Vale|it is always darkest before the dawn , we are often reassured by people who are totally wrong about how the sun works .
Episode 101: Guidelines for Disposal|You are swimming distance from a shore you cannot see. If you choose the wrong direction, you will drown. If do not make a decision, you will drown. Welcome to Night Vale.|there is no harm in trying . really depends on what you are trying . either way , give it a go . it is probably fine .
Episode 102: Love is a Shambling Thing|Look at it from the raindrop's point of view. Welcome to Night Vale.|live every day like it is your first .
Episode 103: Ash Beach|We make money the old-fashioned way. We chemically convert lead into gold. Welcome to Night Vale.|if you are not wearing a denim vest , then this conversation is over .
Episode 104: The Hierarchy of Angels|I know you are, but what am I? What am I? What am I. What <i>AM</i> I? Welcome to Night Vale.|a million dollars is not a sandwich . you know what has a sandwich ? a taco .
Episode 105: What Happened at the Smithwick House|If you could press a button that would give you a great deal of money, but it would cause someone you don't know in a distant part of the world to die, then you would have a good model for how our current economy works. Welcome to Night Vale.|you are what you eat . that is very confusing phrasing ; let me simplify : you consume your own flesh . much clearer .
Episode 106: Filings|Why do birds suddenly appear everytime you are near? Tell me more about your special bird powers. Welcome to Night Vale.|good things come to those who wait . good things come slithering down the unctuous brown stone walls to those who wait alone in the dark pit .
Episode 107: The Missing Sky|The best strategy for a labyrinth is to put one hand on a wall and follow that hand until you reach the exit. The second best strategy is screaming. Welcome to Night Vale.|top of the morning to you . the rest of the day to me . i never said this was fair .
Episode 108: Cal|There\xe2\x80\x99s a billboard along the highway that reads: \xe2\x80\x9cEverything. Must. Go.\xe2\x80\x9d Welcome to Night Vale.|you will catch more flies with honey than with vinegar , but you will catch even more with a corpse of some sort .
Episode 109: A Story About Huntokar|This is a story about Huntokar, said a voice on the radio. A voice you had never heard before, though she has been speaking to you your whole life.|less is more . simplification is the way to happiness . you are not your things . anyway , thanks for your wallet , bye !
Episode 110: Matryoshka|I once was lost. But now I\xe2\x80\x99m fine with that. Welcome to Night Vale.|if you only read one book this year , then you have reached your approved book quota .
Episode 111: Summer 2017, Night Vale, USA|A friendly dessert community where the sun is hot, the moon is beautiful, and mysterious lights pass overhead while we lay open eyed, watching it all. Welcome to Night Vale.|there is no proof you exist . only evidence .
Episode 112: Citizen Spotlight|If you see something crawling across your floor in the dark, don't worry, its probably just a tarantula. Welcome to Night Vale.|be yourself , as if you had any choice in the matter .
Episode 113: Niecelet|Gooooooood eevening, fine citizens. I\xe2\x80\x99m your late night host this week, here to keep you company after sundownn. Welcome to Night Vale!|follow your heart ; you need it . where did it ever learn to walk ?
Episode 114:Council Member Flynn, Part 1|At least their heart\xe2\x80\x99s in the right place, I say, softly running my hand across a plastic takeout container.Welcome to Night Vale. |the seven habits of highly effective people are ; levitation translucence omnipresence country music lime zest suns for eyes hiccups
Episode 115:Council Member Flynn, Part 2|Paint a picture. It\xe2\x80\x99ll last longer. Welcome to Night Vale.|pull this lever . do not worry , you will never know the result . there will be a result .
Episode 116:Council Member Flynn, Part 3|Good hidden recording devices make good neighbors. Welcome to Night Vale.|we are all ( an elite few ) in this ( a secret underground emergency bunker ) together ( on our own without public knowledge ) .
Episode 117:eGemony, part 1: \xe2\x80\x9cCanadian Club\xe2\x80\x9d|The suffocation of the ego.  The eternal silence of the void. Faceless, yet screaming. And now serving orange wine on tap. Welcome to Night Vale.|"people always say "" before i die "" as if they have not already begun the process ."
Episode 118:eGemony, part 2: \xe2\x80\x9cThe Cavelands\xe2\x80\x9d|Time is irrelevant and imaginary. And yet, somehow it seems we are out of it. Welcome to Night Vale.|why would you wan na think outside the box ? the box is steel , and locked , and buried deeply underground . it is so safe here . why would you want to leave ?
Episode 119:eGemony, part 3: \xe2\x80\x9cLove, Among Other Things, Is All You Need\xe2\x80\x9d|The captain has turned off the seatbelt signs, and \xe2\x80\x93has- turned on the ceaseless anxiety signs.Feel free to brood about the cabin.Welcome to Night Vale.|for softer bones and a tenuous smile , drink malk . got mock ? it has here . drink it . ( [ high-pitched ] drink it . ) drink this muelk . mmmm . ( garbled noise ) . ( [ high-pitched , again ] drink it . )
Episode 120:All Smile's Eve|How do I love thee? Let me count your teeth. Happy All Smiles\xe2\x80\x99 Eve, Desert Bluffs!|fool me once , shame on you . fool me twice , now you are just being an asshole .
"Episode 121:A Story of Love and Horror, part 1: ""Barks"""|The password is \xe2\x80\x9cmudwomb\xe2\x80\x9d. The username is \xe2\x80\x9cmudwomb\xe2\x80\x9d. The website is \xe2\x80\x9cmudwomb\xe2\x80\x9d. Where did the rest of the Internet go? Welcome to Night Vale.|welcome to 2018. the year we finally do it . the year we eat the sun .
"Episode 122:A Story of Love and Horror, part 2: ""Spire"""|Do you hear that sweet melody? That sweet melody on the breeze? No one else hears that sweet melody, That sweet melody on the breeze. Welcome to Night Vale.|I am going to give you a piece of my mind ! it is in this clay jar . keep it in a cool , dark place , and away from cats .
"Episode 123:A Story of Love and Horror, part 3: ""Frances"""|Who was that whistling, whistling in the dark? Was that you, my love, whistling, whistling in the dark? Welcome to Night Vale.|we regret to inform you that this entire podcast series has been viral marketing for dippin ' dots . we do not think we made that obvious enough and we are panicking a little . please tell someone to try dippin ' dots today . we are going to be in so much trouble .
Episode 124:A Door Ajar, part 1|Anxiety is just your body's way of telling you something really, really terrible is about to happen. Welcome to Night Vale.|bite your tongue . fun , right ?
Episode 125:A Door Ajar, part 2|When one door closes, another opens. That\xe2\x80\x99s why there are so many raccoons living in your house. Welcome to Night Vale.|i believe in tough love . also , tough tenderness , tough vulnerability , and a daily session of tough mindfulness meditation .
Episode 126:A Door Ajar, part 3|Always keep your eyes closed during a storm. Otherwise your soul will get all wet and mildewy. Welcome to Night Vale.|pick a company and invest all your money in it . the absolute worst that could happen is that you will lose every cent and it would be terrifying and life-changing , so give it a shot .
Episode 127:A Matter of Blood, part 1|Sleep like there\xe2\x80\x99s nobody watching. Welcome to Night Vale.|hey , what is your sign ? mine 's a stop sign . i stole it from an intersection , and i hold it up every time someone tries to talk to me .
Episode 128:A Matter of Blood, part 2|As a matter of fact, the facts don\xe2\x80\x99t matter. Welcome to Night Vale.|our money back guarantee : when you die , the world gets your money back .
Episode 129:A Matter of Blood, part 3|We make our own luck. Which is to say, things randomly happen and we apply our personal ideas about luck to that randomness. Welcome to Night Vale.|my name for the pony i have been planning to get one day has been 'ponye west ' , for years , but for obvious reasons i have recently changed it to 'janelle poneigh ' . this was not written for me by joseph , these are the actual names I have made up for my dream pony .
Episode 130: A Story About Us|This is a story about us, said the man on the radio. And we were pleased, because we always wanted to hear about ourselves on the radio. Welcome to Night Vale.|anything is a piñata if you hit it hard enough .
